Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ
0.02,-0.0022992773437500004,0.00731634765625,1.00530052734375,-0.2888793359374999,-0.6502065039062499,-0.595030703125,30.77989793264964,3.3889294188784964,-42.387679290231695
0.02,-0.0019330664062500004,0.00756048828125,1.00487328125,-0.19732660156249993,-0.0703725195312499,-1.67077533203125,31.516363942781467,2.405779073663654,-42.986246592844
0.02,-0.0027875585937500004,0.00695013671875,1.00566673828125,-0.5635375390624999,0.8146372460937501,-2.37267962890625,31.355036388582253,2.6568984930972466,-42.77023254816626
0.02,-0.0022992773437500004,0.00743841796875,1.0054836328125,0.16888433593750007,0.2653208398437501,-0.03045550781249995,31.633481736238505,3.5908425306949034,-41.867048263376226
0.02,-0.0022992773437500004,0.0071332421875,1.00578880859375,-0.19732660156249993,0.2653208398437501,-0.900206484375,31.30314728360179,2.408431909112872,-43.89399738105201
0.02,-0.0030927343750000004,0.007499453125,1.005605703125,-0.6856078515624999,0.6467905664062501,-0.83154193359375,30.239217484163305,3.4842595096988096,-42.376620916330324
0.02,-0.0018720312500000004,0.00719427734375,1.00584984375,-0.4872435937499999,-0.0322255468749999,-0.10674945312499995,31.949729252595922,2.4690576469058403,-42.865145984689704
0.02,-0.0017499609375000004,0.0071332421875,1.005117421875,-0.6627196679687499,-0.6959828710937499,-2.4413441796875,31.80163429495432,3.456303202081622,-42.22703106427955
0.02,-0.0027265234375000004,0.0066449609375,1.00578880859375,-0.2965087304687499,0.3797617578125001,-0.533995546875,31.93688936978342,2.9902684511050595,-42.03972617292212
0.02,-0.0025434179687500004,0.00774359375,1.0054836328125,0.14599615234375007,-0.3145131445312499,1.32757671875,31.21469728055003,3.3686840302066217,-42.46517821222877
0.02,-0.0025434179687500004,0.00695013671875,1.00517845703125,-0.6627196679687499,-0.3374013281249999,2.22021587890625,30.42863721499827,3.506691251398028,-42.534616360910405
0.02,-0.0025434179687500004,0.0071332421875,1.0057277734375,-0.7161254296874999,0.4331675195312501,0.015320859375000051,31.817619939851784,2.6490747157534966,-42.560226146066654
0.02,-0.0022382421875000004,0.0076215234375,1.00505638671875,-0.24310296874999993,-0.3602895117187499,1.30468853515625,30.14315822403147,3.7867678290347477,-41.8022742992649
0.02,-0.0022992773437500004,0.007011171875,1.00542259765625,0.19177251953125007,-0.7188710546874999,0.38153179687500005,31.272374403841045,2.4570270477847465,-42.88285091425514
0.02,-0.0026654882812500004,0.0068891015625,1.00554466796875,-0.8305663476562499,-0.4823598242187499,-0.778136171875,31.226422378206276,2.8098111469058407,-43.56750768122291
0.02,-0.0027875585937500004,0.00719427734375,1.00542259765625,-0.4643554101562499,-0.1695546484374999,-1.41137591796875,31.036214175325416,3.6113379847964664,-41.38948594526099
0.02,-0.0024213476562500004,0.007499453125,1.00530052734375,-0.4643554101562499,-0.5510243749999999,0.92321880859375,31.524246159212133,2.4980890287417776,-43.11979344196509
0.02,-0.0027265234375000004,0.00731634765625,1.00530052734375,-0.3956908593749999,-1.10797017578125,-0.31274310546874995,30.51743499112132,3.4543750306949037,-41.46950708417701
